event_date,bond_code,Y,prob_proposal,signal_buy,pnl,cumulative_pnl
2025-01-24,127098.SZ,0,0.41152412,0,0.0,-0.002
2025-01-27,110086.SH,0,0.047116548,0,0.0,-0.002
2025-01-27,113625.SH,0,0.2805945,0,0.0,-0.002
2025-01-27,113643.SH,0,0.3179379,0,0.0,-0.002
2025-02-06,113657.SH,0,0.073500745,0,0.0,-0.002
2025-02-06,127079.SZ,1,0.24369308,0,0.0,-0.002
2025-02-07,118031.SH,1,0.25544375,0,0.0,-0.002
2025-02-07,127067.SZ,0,0.32432234,0,0.0,-0.002
2025-02-10,128124.SZ,0,0.16995193,0,0.0,-0.002
2025-02-10,127073.SZ,0,0.26990104,0,0.0,-0.002
2025-02-10,127031.SZ,0,0.2363179,0,0.0,-0.002
2025-02-10,123195.SZ,0,0.15684971,0,0.0,-0.002
2025-02-11,113670.SH,0,0.07998259,0,0.0,-0.002
2025-02-11,118036.SH,1,0.122606084,0,0.0,-0.002
2025-02-13,113671.SH,0,0.20492035,0,0.0,-0.002
2025-02-13,118007.SH,0,0.15824027,0,0.0,-0.002
2025-02-14,110081.SH,0,0.20196918,0,0.0,-0.002
2025-02-14,113681.SH,0,0.099414036,0,0.0,-0.002
2025-02-14,127085.SZ,0,0.0910405,0,0.0,-0.002
2025-02-17,113639.SH,0,0.13923584,0,0.0,-0.002
2025-02-17,123200.SZ,0,0.1796005,0,0.0,-0.002
2025-02-17,127089.SZ,0,0.053329688,0,0.0,-0.002
2025-02-18,113542.SH,1,0.33656392,0,0.0,-0.002
2025-02-18,123071.SZ,0,0.713725,1,-0.002,-0.004
2025-02-19,128074.SZ,1,0.24082491,0,0.0,-0.004
2025-02-19,118023.SH,1,0.09698306,0,0.0,-0.004
2025-02-19,113053.SH,1,0.29297376,0,0.0,-0.004
2025-02-19,110063.SH,1,0.49988595,0,0.0,-0.004
2025-02-20,118033.SH,0,0.16276996,0,0.0,-0.004
2025-02-20,127033.SZ,0,0.40647718,0,0.0,-0.004
2025-02-20,127062.SZ,0,0.0964272,0,0.0,-0.004
2025-02-21,123049.SZ,1,0.5962315,0,0.0,-0.004
2025-02-21,123099.SZ,1,0.8672073,1,0.04,0.036000000000000004
2025-02-21,123119.SZ,1,0.22407277,0,0.0,0.036000000000000004
2025-02-21,127061.SZ,0,0.3286767,0,0.0,0.036000000000000004
2025-02-25,127077.SZ,0,0.22733739,0,0.0,0.036000000000000004
2025-02-25,123197.SZ,0,0.05790845,0,0.0,0.036000000000000004
2025-02-25,123117.SZ,0,0.18272607,0,0.0,0.036000000000000004
2025-02-25,123108.SZ,0,0.20342575,0,0.0,0.036000000000000004
2025-02-25,118009.SH,0,0.0709575,0,0.0,0.036000000000000004
2025-02-25,113682.SH,0,0.08865383,0,0.0,0.036000000000000004
2025-02-25,113647.SH,0,0.08375437,0,0.0,0.036000000000000004
2025-02-25,113563.SH,0,0.4502415,0,0.0,0.036000000000000004
2025-02-25,110086.SH,0,0.12781456,0,0.0,0.036000000000000004
2025-02-25,118000.SH,0,0.5530102,0,0.0,0.036000000000000004
2025-02-26,113661.SH,1,0.08807231,0,0.0,0.036000000000000004
2025-02-26,118032.SH,0,0.08475974,0,0.0,0.036000000000000004
2025-02-26,128125.SZ,1,0.37198037,0,0.0,0.036000000000000004
2025-02-27,113059.SH,0,0.26928857,0,0.0,0.036000000000000004
2025-02-28,127059.SZ,0,0.04752863,0,0.0,0.036000000000000004
2025-02-28,113640.SH,0,0.17734265,0,0.0,0.036000000000000004
2025-02-28,123168.SZ,0,0.077060774,0,0.0,0.036000000000000004
2025-02-28,123171.SZ,0,0.13816622,0,0.0,0.036000000000000004
2025-03-04,113670.SH,0,0.08814709,0,0.0,0.036000000000000004
2025-03-05,123151.SZ,0,0.31294227,0,0.0,0.036000000000000004
2025-03-06,113584.SH,0,0.4135692,0,0.0,0.036000000000000004
2025-03-06,118007.SH,0,0.1530255,0,0.0,0.036000000000000004
2025-03-06,118029.SH,0,0.09799122,0,0.0,0.036000000000000004
2025-03-07,110095.SH,1,0.11567007,0,0.0,0.036000000000000004
2025-03-07,118006.SH,1,0.08136832,0,0.0,0.036000000000000004
2025-03-07,118027.SH,0,0.31959414,0,0.0,0.036000000000000004
2025-03-07,123065.SZ,0,0.6636264,0,0.0,0.036000000000000004
2025-03-07,123124.SZ,0,0.15678261,0,0.0,0.036000000000000004
2025-03-07,128119.SZ,0,0.6575046,0,0.0,0.036000000000000004
2025-03-10,127089.SZ,0,0.08045264,0,0.0,0.036000000000000004
2025-03-11,113574.SH,1,0.5902714,0,0.0,0.036000000000000004
2025-03-11,123196.SZ,0,0.11329517,0,0.0,0.036000000000000004
