event_date,Y,bond_code,W1,W2,W3,W4a,W5,W6,W7a,W8,W9
2022-12-23,0,123143.SZ,-0.1607046723365783,2.700452,0,1,0,1,0,5.2704,0.25926
2022-12-27,0,118007.SH,-0.0919943302869796,5.054574,1,1,0,1,0,5.2348,0.20606
2022-12-28,0,123165.SZ,-0.1142338365316391,1.604618,0,1,0,0,0,5.8316,0.03571
2022-12-29,0,128066.SZ,0.0858325287699699,2.54892,0,1,1,0,0,2.2998,0.01587
2022-12-30,0,123050.SZ,-0.1654426008462906,2.126079,0,1,0,0,0,3.2882,0.02351
2022-12-30,0,113608.SH,0.0205337181687355,2.489585,0,1,0,0,0,3.8604,0.00395
2023-01-04,0,128131.SZ,-0.142205998301506,1.700803,0,0,0,1,0,3.6742,0.00549
2023-01-04,0,128143.SZ,-0.0821991860866546,2.397411,0,1,0,1,0,4.011,0.10129
2023-01-05,0,113623.SH,-0.0220805890858173,0.870649,0,0,0,0,0,4.2546,0.36139
2023-01-05,0,123142.SZ,-0.1138911172747612,4.565181,0,1,0,1,0,5.1992,0.00559
2023-01-06,0,118000.SH,-0.0040152803994715,1.12435,0,1,0,0,0,4.1314,0.00455
2023-01-06,0,123087.SZ,-0.1276677548885345,2.040454,0,1,1,0,0,3.9398,0.02273
2023-01-09,0,113532.SH,0.3747028708457947,1.492647,1,0,0,1,0,2.2286,0.35929
2023-01-09,0,113636.SH,-0.0825019255280494,1.075842,0,1,0,1,0,4.9254,0.09016
2023-01-10,0,123157.SZ,0.0564714297652244,2.446174,0,1,0,1,0,5.6372,0.29577
2023-01-11,0,118024.SH,-0.1184552982449531,0.935049,0,0,0,0,0,5.7851,0.22857
2023-01-11,0,127004.SZ,0.0266022607684135,0.912663,0,1,0,0,0,0.3888,0.42529
2023-01-13,0,113625.SH,-0.0887231826782226,1.472381,0,1,0,1,0,4.4079,0.66398
2023-01-16,0,118015.SH,-0.1720815300941467,5.966013,0,1,0,1,0,5.5113,0.83505
2023-01-16,0,113650.SH,-0.0235330387949943,2.335392,0,1,0,1,0,5.4565,0.09821
2023-01-16,0,110060.SH,0.0981633886694908,1.71446,1,0,1,1,0,2.7817,0.0066
2023-01-17,0,123172.SZ,-0.047408640384674,0.956996,0,1,0,0,0,5.911,0.25
